# @echo "cylinder not seen" 
# @./minirt test/cylinder/test_input_one_cylinder_1_not_seen.rt 
cylinder seen from outside
dist infinite: 207.205886 | t->dist_cap: 200.277270 | clang!
dist infinite: 207.205886 | t->dist_cap: 200.277270 | clang!
dist infinite: 200.468534 | t->dist_cap: 200.313203 | clang!
dist infinite: 200.468534 | t->dist_cap: 200.313203 | clang!
dist infinite: 201.644390 | t->dist_cap: 200.306670 | clang!
dist infinite: 201.644390 | t->dist_cap: 200.306670 | clang!
dist infinite: 209.165189 | t->dist_cap: 200.267468 | clang!
dist infinite: 209.165189 | t->dist_cap: 200.267468 | clang!
dist infinite: 216.858851 | t->dist_cap: 200.231527 | clang!
dist infinite: 216.858851 | t->dist_cap: 200.231527 | clang!
dist infinite: 224.648331 | t->dist_cap: 200.198847 | clang!
dist infinite: 224.648331 | t->dist_cap: 200.198847 | clang!
dist infinite: 232.431407 | t->dist_cap: 200.169431 | clang!
dist infinite: 232.431407 | t->dist_cap: 200.169431 | clang!
dist infinite: 240.078097 | t->dist_cap: 200.143279 | clang!
dist infinite: 240.078097 | t->dist_cap: 200.143279 | clang!
dist infinite: 247.429929 | t->dist_cap: 200.120394 | clang!
dist infinite: 247.429929 | t->dist_cap: 200.120394 | clang!
dist infinite: 254.302205 | t->dist_cap: 200.100776 | clang!
dist infinite: 254.302205 | t->dist_cap: 200.100776 | clang!
dist infinite: 260.490357 | t->dist_cap: 200.084426 | clang!
dist infinite: 260.490357 | t->dist_cap: 200.084426 | clang!
dist infinite: 265.781163 | t->dist_cap: 200.071345 | clang!
dist infinite: 265.781163 | t->dist_cap: 200.071345 | clang!
dist infinite: 269.968633 | t->dist_cap: 200.061534 | clang!
dist infinite: 269.968633 | t->dist_cap: 200.061534 | clang!
dist infinite: 272.873175 | t->dist_cap: 200.054993 | clang!
dist infinite: 272.873175 | t->dist_cap: 200.054993 | clang!
dist infinite: 274.361162 | t->dist_cap: 200.051722 | clang!
dist infinite: 274.361162 | t->dist_cap: 200.051722 | clang!
dist infinite: 274.361162 | t->dist_cap: 200.051722 | clang!
dist infinite: 274.361162 | t->dist_cap: 200.051722 | clang!
dist infinite: 272.873175 | t->dist_cap: 200.054993 | clang!
dist infinite: 272.873175 | t->dist_cap: 200.054993 | clang!
dist infinite: 269.968633 | t->dist_cap: 200.061534 | clang!
dist infinite: 269.968633 | t->dist_cap: 200.061534 | clang!
dist infinite: 265.781163 | t->dist_cap: 200.071345 | clang!
dist infinite: 265.781163 | t->dist_cap: 200.071345 | clang!
dist infinite: 260.490357 | t->dist_cap: 200.084426 | clang!
dist infinite: 260.490357 | t->dist_cap: 200.084426 | clang!
dist infinite: 254.302205 | t->dist_cap: 200.100776 | clang!
dist infinite: 254.302205 | t->dist_cap: 200.100776 | clang!
dist infinite: 247.429929 | t->dist_cap: 200.120394 | clang!
dist infinite: 247.429929 | t->dist_cap: 200.120394 | clang!
dist infinite: 240.078097 | t->dist_cap: 200.143279 | clang!
dist infinite: 240.078097 | t->dist_cap: 200.143279 | clang!
dist infinite: 232.431407 | t->dist_cap: 200.169431 | clang!
dist infinite: 232.431407 | t->dist_cap: 200.169431 | clang!
dist infinite: 224.648331 | t->dist_cap: 200.198847 | clang!
dist infinite: 224.648331 | t->dist_cap: 200.198847 | clang!
dist infinite: 216.858851 | t->dist_cap: 200.231527 | clang!
dist infinite: 216.858851 | t->dist_cap: 200.231527 | clang!
dist infinite: 209.165189 | t->dist_cap: 200.267468 | clang!
dist infinite: 209.165189 | t->dist_cap: 200.267468 | clang!
dist infinite: 201.644390 | t->dist_cap: 200.306670 | clang!
dist infinite: 201.644390 | t->dist_cap: 200.306670 | clang!
dist infinite: 201.644390 | t->dist_cap: 200.306670 | clang!
dist infinite: 201.644390 | t->dist_cap: 200.306670 | clang!
dist infinite: 209.830818 | t->dist_cap: 200.264201 | clang!
dist infinite: 209.830818 | t->dist_cap: 200.264201 | clang!
dist infinite: 218.351613 | t->dist_cap: 200.224991 | clang!
dist infinite: 218.351613 | t->dist_cap: 200.224991 | clang!
dist infinite: 227.154774 | t->dist_cap: 200.189042 | clang!
dist infinite: 227.154774 | t->dist_cap: 200.189042 | clang!
dist infinite: 236.161554 | t->dist_cap: 200.156355 | clang!
dist infinite: 236.161554 | t->dist_cap: 200.156355 | clang!
dist infinite: 245.260518 | t->dist_cap: 200.126933 | clang!
dist infinite: 245.260518 | t->dist_cap: 200.126933 | clang!
dist infinite: 254.302205 | t->dist_cap: 200.100776 | clang!
dist infinite: 254.302205 | t->dist_cap: 200.100776 | clang!
dist infinite: 263.095734 | t->dist_cap: 200.077885 | clang!
dist infinite: 263.095734 | t->dist_cap: 200.077885 | clang!
dist infinite: 271.409211 | t->dist_cap: 200.058263 | clang!
dist infinite: 271.409211 | t->dist_cap: 200.058263 | clang!
dist infinite: 278.976037 | t->dist_cap: 200.041910 | clang!
dist infinite: 278.976037 | t->dist_cap: 200.041910 | clang!
dist infinite: 285.508948 | t->dist_cap: 200.028826 | clang!
dist infinite: 285.508948 | t->dist_cap: 200.028826 | clang!
dist infinite: 290.722366 | t->dist_cap: 200.019013 | clang!
dist infinite: 290.722366 | t->dist_cap: 200.019013 | clang!
dist infinite: 294.361402 | t->dist_cap: 200.012470 | clang!
dist infinite: 294.361402 | t->dist_cap: 200.012470 | clang!
dist infinite: 296.233064 | t->dist_cap: 200.009199 | clang!
dist infinite: 296.233064 | t->dist_cap: 200.009199 | clang!
dist infinite: 296.233064 | t->dist_cap: 200.009199 | clang!
dist infinite: 296.233064 | t->dist_cap: 200.009199 | clang!
dist infinite: 294.361402 | t->dist_cap: 200.012470 | clang!
dist infinite: 294.361402 | t->dist_cap: 200.012470 | clang!
dist infinite: 290.722366 | t->dist_cap: 200.019013 | clang!
dist infinite: 290.722366 | t->dist_cap: 200.019013 | clang!
dist infinite: 285.508948 | t->dist_cap: 200.028826 | clang!
dist infinite: 285.508948 | t->dist_cap: 200.028826 | clang!
